weights/vgg16_cifar10_ser_8_h1/vgg16_cifar10_ser_8_h1_200917/vgg16_cifar10_ser_8_h1_200917_0009.pth
positive : 0.49016203703703703, negative : 0.49421296296296297, zero :0.0156250000 
positive : 0.4183756510416667, negative : 0.5637749565972222, zero :0.0178493924 
positive : 0.4650743272569444, negative : 0.5178629557291666, zero :0.0170627170 
positive : 0.4140557183159722, negative : 0.5665351019965278, zero :0.0194091797 
positive : 0.4531283908420139, negative : 0.5238003200954862, zero :0.0230712891 
positive : 0.4244418674045139, negative : 0.5602637396918403, zero :0.0152943929 
positive : 0.4203575981987847, negative : 0.5623219807942709, zero :0.0173204210 
positive : 0.4547831217447917, negative : 0.5265333387586806, zero :0.0186835395 
positive : 0.39847903781467015, negative : 0.5799751281738281, zero :0.0215458340 
positive : 0.45167583889431423, negative : 0.5188869900173612, zero :0.0294371711 
positive : 0.4001782735188802, negative : 0.5771128336588541, zero :0.0227088928 
positive : 0.4070705837673611, negative : 0.5682996114095052, zero :0.0246298048 
positive : 0.39868121676974827, negative : 0.57068845960829, zero :0.0306303236 
positive : 0.5848760604858398, negative : 0.40036773681640625, zero :0.0147562027 
positive : 0.5373426079750061, negative : 0.41365861892700195, zero :0.0489987731 
positive : 0.430712890625, negative : 0.5560302734375, zero :0.0132568359 

weights/vgg16_cifar10_ser_8_8_fc10_h1/vgg16_cifar10_ser_8_8_fc10_h1_200914/vgg16_cifar10_ser_8_8_fc10_h1_200914_0935.pth
positive : 0.4832175925925926, negative : 0.4837962962962963, zero :0.0329861111 
positive : 0.3621961805555556, negative : 0.5049370659722222, zero :0.1328667535 
positive : 0.4154052734375, negative : 0.4603000217013889, zero :0.1242947049 
positive : 0.3511488172743056, negative : 0.5069580078125, zero :0.1418931749 
positive : 0.3803609212239583, negative : 0.4516432020399306, zero :0.1679958767 
positive : 0.3228573269314236, negative : 0.4573584662543403, zero :0.2197842068 
positive : 0.3077901204427083, negative : 0.4438866509331597, zero :0.2483232286 
positive : 0.23070187038845485, negative : 0.29544491238064235, zero :0.4738532172 
positive : 0.06991068522135417, negative : 0.14667129516601562, zero :0.7834180196 
positive : 0.04855389065212674, negative : 0.052759806315104164, zero :0.8986863030 
positive : 0.01620186699761285, negative : 0.037985907660590276, zero :0.9458122253 
positive : 0.01664437188042535, negative : 0.022773318820529513, zero :0.9605823093 
positive : 0.025981903076171875, negative : 0.013836330837673612, zero :0.9601817661 
positive : 0.4411134719848633, negative : 0.2826995849609375, zero :0.2761869431 
positive : 0.16540193557739258, negative : 0.0773766040802002, zero :0.7572214603 
positive : 0.3450439453125, negative : 0.44189453125, zero :0.2130615234 
